date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2024-11-12,600887.XSHG,伊利股份,800.0,29.8,23.1709,23840.0
2024-11-12,600016.XSHG,民生银行,4600.0,3.89,3.4737,17894.0
2024-11-12,000725.XSHE,京东方A,2900.0,4.54,3.8136,13166.0
2024-11-12,002033.XSHE,丽江股份,600.0,9.16,8.7084,5496.0
2024-11-12,600138.XSHG,中青旅,500.0,10.63,9.7342,5315.0
2024-11-13,300142.XSHE,沃森生物,200.0,16.71,14.9639,3342.0
2024-11-13,300122.XSHE,智飞生物,200.0,32.53,44.0614,6506.0
2024-11-13,000069.XSHE,华侨城A,10300.0,3.01,2.5819,31003.0
2024-11-13,600085.XSHG,同仁堂,100.0,42.46,40.9513,4246.0
2024-11-13,000895.XSHE,双汇发展,800.0,25.37,23.8667,20296.0
2024-11-13,600535.XSHG,天士力,900.0,15.59,13.1912,14031.0
2024-11-13,600887.XSHG,伊利股份,800.0,30.01,23.1709,24008.0
2024-11-13,600016.XSHG,民生银行,4600.0,3.8,3.3437,17480.0
2024-11-13,000725.XSHE,京东方A,2900.0,4.55,3.8136,13195.0
2024-11-13,002033.XSHE,丽江股份,600.0,9.02,8.7084,5412.0
2024-11-13,600138.XSHG,中青旅,500.0,10.52,9.7342,5260.0
2024-11-14,300142.XSHE,沃森生物,200.0,15.89,14.9639,3178.0
2024-11-14,300122.XSHE,智飞生物,200.0,30.88,44.0614,6176.0
2024-11-14,000069.XSHE,华侨城A,10300.0,2.93,2.5819,30179.0
2024-11-14,600085.XSHG,同仁堂,100.0,42.0,40.9513,4200.0
2024-11-14,000895.XSHE,双汇发展,800.0,24.93,23.8667,19944.0
2024-11-14,600535.XSHG,天士力,900.0,15.26,13.1912,13734.0
2024-11-14,600887.XSHG,伊利股份,800.0,29.61,23.1709,23688.0
2024-11-14,600016.XSHG,民生银行,4600.0,3.77,3.3437,17342.0
2024-11-14,000725.XSHE,京东方A,2900.0,4.4,3.8136,12760.0
2024-11-14,002033.XSHE,丽江股份,600.0,8.92,8.7084,5352.0
2024-11-14,600138.XSHG,中青旅,500.0,10.33,9.7342,5165.0
2024-11-15,300142.XSHE,沃森生物,200.0,15.59,14.9639,3118.0
2024-11-15,300122.XSHE,智飞生物,200.0,29.53,44.0614,5906.0
2024-11-15,000069.XSHE,华侨城A,10300.0,2.84,2.5819,29252.0
2024-11-15,600085.XSHG,同仁堂,100.0,41.01,40.9513,4101.0
2024-11-15,000895.XSHE,双汇发展,800.0,24.92,23.8667,19936.0
2024-11-15,600535.XSHG,天士力,900.0,14.98,13.1912,13482.0
2024-11-15,600887.XSHG,伊利股份,800.0,29.29,23.1709,23432.0
2024-11-15,600016.XSHG,民生银行,4600.0,3.77,3.3437,17342.0
2024-11-15,000725.XSHE,京东方A,2900.0,4.41,3.8136,12789.0
2024-11-15,002033.XSHE,丽江股份,600.0,8.81,8.7084,5286.0
2024-11-15,600138.XSHG,中青旅,500.0,10.24,9.7342,5120.0
2024-11-18,300142.XSHE,沃森生物,200.0,14.97,14.9639,2994.0
2024-11-18,300122.XSHE,智飞生物,200.0,29.1,44.0614,5820.0
2024-11-18,000069.XSHE,华侨城A,10300.0,3.07,2.5819,31621.0
2024-11-18,600085.XSHG,同仁堂,100.0,41.08,40.9513,4108.0
2024-11-18,000895.XSHE,双汇发展,800.0,24.63,23.8667,19704.0
2024-11-18,600535.XSHG,天士力,900.0,14.91,13.1912,13419.0
2024-11-18,600887.XSHG,伊利股份,800.0,28.98,23.1709,23184.0
2024-11-18,600016.XSHG,民生银行,4600.0,4.05,3.3437,18630.0
2024-11-18,000725.XSHE,京东方A,2900.0,4.41,3.8136,12789.0
2024-11-18,002033.XSHE,丽江股份,500.0,8.67,8.7084,4335.0
2024-11-18,600138.XSHG,中青旅,500.0,10.18,9.7342,5090.0
2024-11-19,300142.XSHE,沃森生物,200.0,15.29,14.9639,3058.0
2024-11-19,300122.XSHE,智飞生物,200.0,29.98,44.0614,5996.0
2024-11-19,000069.XSHE,华侨城A,10300.0,2.91,2.5819,29973.0
2024-11-19,600085.XSHG,同仁堂,100.0,41.48,40.9513,4148.0
2024-11-19,000895.XSHE,双汇发展,800.0,24.74,23.8667,19792.0
2024-11-19,600535.XSHG,天士力,900.0,15.0,13.1912,13500.0
2024-11-19,600887.XSHG,伊利股份,800.0,28.87,23.1709,23096.0
2024-11-19,600016.XSHG,民生银行,4500.0,4.16,3.3437,18720.0
2024-11-19,000725.XSHE,京东方A,2900.0,4.4,3.8136,12760.0
2024-11-19,002033.XSHE,丽江股份,500.0,8.73,8.7084,4365.0
2024-11-19,600138.XSHG,中青旅,500.0,10.29,9.7342,5145.0
